"","to3","f4","b2","to2","b3","b7","kw5","vg1","vg2","t4a","kw2","kw4","b5","t3b","f3","kw3","kw1","b6","to1","b1","t3a","vg4","ks2","ks1","t2b","f2","bs3","t2a","bs2","b4","bs1","f1","t1b","vg3","t1a"
"achenheim_1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0
"achenheim_1.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
"didenheim_2",0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"entzheim_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
"geispolzheim_4",0,0,3,0,0,1,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"hoenheim_5",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0
"kertzfeld_6",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0.5,0.5,2,0,0,1,0,0,0,0,0,0,0
"mundolsheim_8.1",1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mundolsheim_8.2",0,0,0,0,0,0,2,1,0,0,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"strasbourg_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0
"wolfisheim_10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"munzingen_11.1",0,2,0,0,0,1,1,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"munzingen_11.2",0,2,0,0,0,0,2,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"munzingen_11.3",0,1,1,0,1,1,1,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"munzingen_11.4",0,1,2,0,1,2,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"munzingen_11.5",0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jechtingen_12.1",0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jechtingen_12.2",0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"thayingen_13",0,1,1,0,0,1,2,1,0,1,1,0,0,1,0,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"hornstaad_14",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
"iggelheim_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,2,0,2
"bolanden_16",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"handschuhsheim_17",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,4,0,2,3,0,1,4.5,3.5,3,4,0,2,0,0,0,0,0,0,0
"rohrbach_18",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,2,0,0,2,4,0,0.5,0.5,4,0,0,1,0,0,0,0,0,0,0
"untergrombach_19.1",1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.2",0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.3",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.4",0,0,1,1,0,1,0,3,0,2,1,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0
"untergrombach_19.6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.7",0,0,1,0,0,2,0,3,1,0,6,2,0,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.8",0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aislingen_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ammerbuch_21",1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ehrenstein_22.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,1,2,1,8,0,0,3,1,0,0
"ehrenstein_22.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,1,7,0,1,0,1,0,0
"ehrenstein_22.3",0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,25,10,0,1,1,0,0,0,0,1,2,8,1,18,0,4,0,0,0,0
"ehrenstein_22.4",0,0,1,0,0,0,4,0,0,0,6,10,0,0,1,30,18,0,0,1,0,0,0,0,1,0,2,1,4,0,0,0,0,0,0
"goldburghausen_23.1",0,0,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"goldburghausen_23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.1",0,0,0,0,1,0,3,1,2,0,3,6,0,1,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.2",0,0,6,0,0,4,6,6,1,0,8,24,2,0,0,7,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.3",0,1,6,1,1,0,6,1,2,0,4,11,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.4",0,0,1,0,0,0,1,0,0,2,2,4,0,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.5",0,0,0,0,0,0,1,3,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.6",1,0,5,0,0,0,1,1,0,2,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.7",1,0,0,0,2,0,0,1,4,0,0,2,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.8",0,0,2,0,1,0,2,1,2,0,1,2,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ilsfeld_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,1,0,0,0,0,1,0,0
"ludwigsburg_26.1",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ludwigsburg_26.2",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ludwigsburg_26.3",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nuertingen_27",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"stuttgart_28.1",0,0,0,0,0,0,1,0,1,0,2,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stuttgart_28.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gerlachsheim_29",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hopferstadt_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
"schäftersheim_31",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eddersheim_32",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"floersheim_33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0
"finthen_34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"frankfurt-hoechst_35",0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"frankfurt-praunheim_36",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"grossumstadt_37",0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,1,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0
"lengfeld_38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,3,1
"rauenthal_39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
"sulzbach_40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0
"wackernheim_41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0
"wiesbaden_42",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,1,0,3,0,0,2,0,0,0,0,0,0,0
"assenheim_43",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2.5,0.5,6,6,0,4,0,0,0,0,0,2,1
"echzell-preulen_44",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"echzell-wannkopf_45.1",3,3,18,2,15,3,22,11,4,1,25,8,0,2,0,41,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"echzell-wannkopf_45.2",2,3,2,0,1,1,4,1,0,0,2,4,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"griedel_46",1,0,4,0,4,1,2,1,2,1,2,4,0,1,1,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"leidhecken_47.1",0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"leidhecken_47.2",6,1,4,0,4,0,2,2,1,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"badnauheim_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,1,0,0
"bergheim_49.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,2,2,0
"bergheim_49.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3,1,1,2,3,2,0
"ungedanken_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0.5,0.5,0,0,0,2,0,0,0,0,0,0,0
"einbeck_51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,2,1,0,1
"ruebeland_52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0
"bochum_53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
"coesfeld_54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0
"osterwick_55",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,4,1.5,5.5,0,0,0,0,0,0,0,0,0,1,0
"nottuln_56",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.5,0.5,2,0,0,1,0,0,0,0,0,0,0
"aldenhoven_57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"inden_58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,1,0,1,6,14,0,8,0,12,5,4
"koslar_59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,4
"miel_60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2
"kollig_61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,2,2,2,0,0,0,1,2,0,0
"mayen_62.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,3,0,1
"mayen_62.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"mayen_62.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,1,0
"mayen_62.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,3,1,2
"mayen-katzenberg_63",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"urmitz_64.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"urmitz_64.2",0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"urmitz_64.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,1,0
"neufville_65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,1
"thieusies_66.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
"thieusies_66.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0
"mairy_67.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
"mairy_67.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
"mairy_67.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
"cuiry_68.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,1
"cuiry_68.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,1,2,2,0,3
"maizy_69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,6,6,13,4,1,1,11,3,8
"flintbek_la48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,2,1
